+--------+-----------+---------------------------------------------+---------------------------+------------------------------------------------------------------------+----------------------------------------------+
| Domain | Method    | URI                                         | Name                      | Action                                                                 | Middleware                                   |
+--------+-----------+---------------------------------------------+---------------------------+------------------------------------------------------------------------+----------------------------------------------+
|        | GET|HEAD  | /                                           |                           | App\Http\Controllers\HomeController@index                              | web,auth                                     |
|        | GET|HEAD  | _debugbar/assets/javascript                 | debugbar.assets.js        | Barryvdh\Debugbar\Controllers\AssetController@js                       | Barryvdh\Debugbar\Middleware\DebugbarEnabled |
|        | GET|HEAD  | _debugbar/assets/stylesheets                | debugbar.assets.css       | Barryvdh\Debugbar\Controllers\AssetController@css                      | Barryvdh\Debugbar\Middleware\DebugbarEnabled |
|        | DELETE    | _debugbar/cache/{key}/{tags?}               | debugbar.cache.delete     | Barryvdh\Debugbar\Controllers\CacheController@delete                   | Barryvdh\Debugbar\Middleware\DebugbarEnabled |
|        | GET|HEAD  | _debugbar/clockwork/{id}                    | debugbar.clockwork        | Barryvdh\Debugbar\Controllers\OpenHandlerController@clockwork          | Barryvdh\Debugbar\Middleware\DebugbarEnabled |
|        | GET|HEAD  | _debugbar/open                              | debugbar.openhandler      | Barryvdh\Debugbar\Controllers\OpenHandlerController@handle             | Barryvdh\Debugbar\Middleware\DebugbarEnabled |
|        | GET|HEAD  | api/user                                    |                           | Closure                                                                | api,auth:api                                 |
|        | GET|HEAD  | home                                        | home                      | App\Http\Controllers\HomeController@index                              | web,auth                                     |
|        | POST      | leagues                                     | leagues.store             | App\Http\Controllers\LeagueController@store                            | web,auth                                     |
|        | GET|HEAD  | leagues                                     | leagues.index             | App\Http\Controllers\LeagueController@index                            | web                                          |
|        | GET|HEAD  | leagues/create                              | leagues.create            | App\Http\Controllers\LeagueController@create                           | web,auth                                     |
|        | DELETE    | leagues/{league}                            | leagues.destroy           | App\Http\Controllers\LeagueController@destroy                          | web,auth                                     |
|        | GET|HEAD  | leagues/{league}                            | leagues.show              | App\Http\Controllers\LeagueController@show                             | web                                          |
|        | PUT|PATCH | leagues/{league}                            | leagues.update            | App\Http\Controllers\LeagueController@update                           | web,auth                                     |
|        | GET|HEAD  | leagues/{league}/edit                       | leagues.edit              | App\Http\Controllers\LeagueController@edit                             | web,auth                                     |
|        | POST      | login                                       |                           | App\Http\Controllers\Auth\LoginController@login                        | web,guest                                    |
|        | GET|HEAD  | login                                       | login                     | App\Http\Controllers\Auth\LoginController@showLoginForm                | web,guest                                    |
|        | POST      | logout                                      | logout                    | App\Http\Controllers\Auth\LoginController@logout                       | web                                          |
|        | GET|HEAD  | matches                                     | matches.index             | App\Http\Controllers\LeagueMatchController@index                       | web                                          |
|        | POST      | matches                                     | matches.store             | App\Http\Controllers\LeagueMatchController@store                       | web,auth                                     |
|        | GET|HEAD  | matches/create                              | matches.create            | App\Http\Controllers\LeagueMatchController@create                      | web,auth                                     |
|        | GET|HEAD  | matches/{match}                             | matches.show              | App\Http\Controllers\LeagueMatchController@show                        | web                                          |
|        | DELETE    | matches/{match}                             | matches.destroy           | App\Http\Controllers\LeagueMatchController@destroy                     | web,auth                                     |
|        | PUT|PATCH | matches/{match}                             | matches.update            | App\Http\Controllers\LeagueMatchController@update                      | web,auth                                     |
|        | GET|HEAD  | matches/{match}/edit                        | matches.edit              | App\Http\Controllers\LeagueMatchController@edit                        | web,auth                                     |
|        | POST      | matches/{match}/frames                      | frames.store              | App\Http\Controllers\LeagueFrameController@store                       | web,auth                                     |
|        | GET|HEAD  | matches/{match}/frames                      | frames.index              | App\Http\Controllers\LeagueFrameController@index                       | web                                          |
|        | GET|HEAD  | matches/{match}/frames/create               | frames.create             | App\Http\Controllers\LeagueFrameController@create                      | web,auth                                     |
|        | GET|HEAD  | matches/{match}/frames/{frame}              | frames.show               | App\Http\Controllers\LeagueFrameController@show                        | web                                          |
|        | PUT|PATCH | matches/{match}/frames/{frame}              | frames.update             | App\Http\Controllers\LeagueFrameController@update                      | web,auth                                     |
|        | DELETE    | matches/{match}/frames/{frame}              | frames.destroy            | App\Http\Controllers\LeagueFrameController@destroy                     | web,auth                                     |
|        | GET|HEAD  | matches/{match}/frames/{frame}/edit         | frames.edit               | App\Http\Controllers\LeagueFrameController@edit                        | web,auth                                     |
|        | POST      | password/email                              | password.email            | App\Http\Controllers\Auth\ForgotPasswordController@sendResetLinkEmail  | web,guest                                    |
|        | POST      | password/reset                              |                           | App\Http\Controllers\Auth\ResetPasswordController@reset                | web,guest                                    |
|        | GET|HEAD  | password/reset                              | password.request          | App\Http\Controllers\Auth\ForgotPasswordController@showLinkRequestForm | web,guest                                    |
|        | GET|HEAD  | password/reset/{token}                      | password.reset            | App\Http\Controllers\Auth\ResetPasswordController@showResetForm        | web,guest                                    |
|        | GET|HEAD  | players                                     | players.index             | App\Http\Controllers\PlayerController@index                            | web                                          |
|        | POST      | players                                     | players.store             | App\Http\Controllers\PlayerController@store                            | web,auth                                     |
|        | GET|HEAD  | players/create                              | players.create            | App\Http\Controllers\PlayerController@create                           | web,auth                                     |
|        | GET|HEAD  | players/{player}                            | players.show              | App\Http\Controllers\PlayerController@show                             | web                                          |
|        | DELETE    | players/{player}                            | players.destroy           | App\Http\Controllers\PlayerController@destroy                          | web,auth                                     |
|        | PUT|PATCH | players/{player}                            | players.update            | App\Http\Controllers\PlayerController@update                           | web,auth                                     |
|        | GET|HEAD  | players/{player}/edit                       | players.edit              | App\Http\Controllers\PlayerController@edit                             | web,auth                                     |
|        | POST      | register                                    |                           | App\Http\Controllers\Auth\RegisterController@register                  | web,guest                                    |
|        | GET|HEAD  | register                                    | register                  | App\Http\Controllers\Auth\RegisterController@showRegistrationForm      | web,guest                                    |
|        | GET|HEAD  | teams                                       | teams.index               | App\Http\Controllers\TeamController@index                              | web                                          |
|        | POST      | teams                                       | teams.store               | App\Http\Controllers\TeamController@store                              | web,auth                                     |
|        | GET|HEAD  | teams/create                                | teams.create              | App\Http\Controllers\TeamController@create                             | web,auth                                     |
|        | PUT|PATCH | teams/{team}                                | teams.update              | App\Http\Controllers\TeamController@update                             | web,auth                                     |
|        | DELETE    | teams/{team}                                | teams.destroy             | App\Http\Controllers\TeamController@destroy                            | web,auth                                     |
